# QEMU decode-identity / Capstone-constant PAIR CENSUS -- the observed set the
# generated champsim_tracer_qemu_ident_riscv.h rests on.
#
# Written by the tracer (CST_QEMU_IDENT_PAIRS=<path>, ONE qemu process per
# file) and folded in here by tools/merge_ident_pairs.py, which is a UNION:
# a rule that has ever been observed stays observed, so regeneration cannot
# narrow the table.  Sorted by (decode_id, cap_insn_id) so a diff is readable.
#
# The NAME is not decoration.  A decode id is not stable across source edits
# -- on i386 it is __LINE__ in decode-new.c.inc -- so the name is what proves
# a banked record still belongs to the rule it was taken from.  Both this
# tool's `verify` and the generator refuse a record whose name disagrees with
# the current universe.
#
#decode_id	decode_name	cap_insn_id	count
3126952017	decode_insn16/addi@000...........01	492	4989
3126952017	decode_insn16/addi@000...........01	525	25
3158253420	decode_insn16/c_fld@001...........10	503	46
3158501572	decode_insn16/lui	520	3778
3161266827	decode_insn32/srai	821	184
3223195770	decode_insn16/addi@011.00010.....01	493	2555
3241692461	decode_insn16/c_fsd@101...........00	506	40
3241852063	decode_insn32/fsgnjx_d	665	102
3259066229	decode_insn16/c_fld@001...........00	502	127
3320986612	decode_insn32/xori	1671	1049
3358667787	decode_insn32/div	551	6
3396153493	decode_insn32/sraw	823	56
3398272064	decode_insn32/srlw	828	27
3440211225	decode_insn32/lpad	142	3
3467546255	decode_insn32/ecall	557	697
3485836862	decode_insn32/fdiv_d	597	36
3527969550	decode_insn32/vadd_vv	961	3
3539743576	decode_insn16/sub	542	1068
3544065116	decode_insn32/vmerge_vxm	1324	3
3590860273	decode_insn32/vmul_vv	1376	3
3612852878	decode_insn32/vmerge_vvm	1323	3
3655661881	decode_insn32/fcvt_l_d	581	15
3726356869	decode_insn32/fmv_d_x	644	287
3729666395	decode_insn32/fsub_d	674	156
3748004561	decode_insn32/amoadd_d	55	3
3748004561	decode_insn32/amoadd_d	57	3
3802169771	decode_insn16/and	497	1186
3853300683	decode_insn32/mulw	753	24
3867706129	decode_insn16/add	491	11007
3872477294	decode_insn16/ld@011...........00	515	4669
3893174968	decode_insn32/beq	145	10355
3901600634	decode_insn32/srli	826	2128
3904283066	decode_insn16/addi@010...........01	519	7423
3939766315	decode_insn16/xor	547	654
3964937086	decode_insn32/csrrsi	188	3
3966113608	decode_insn32/amoadd_w	59	13
3973290103	decode_insn16/ld@011...........10	516	10036
3975332985	decode_insn32/fence	600	309
4006479140	decode_insn16/sw@110...........00	544	531
4011751134	decode_insn32/blt	152	2938
4026998562	decode_insn32/bge	148	1159
4177668439	decode_insn32/fmadd_d	621	531
4194173944	decode_insn32/vsbc_vvm	1450	3
4229462823	decode_insn32/bne	154	7797
4238047620	decode_insn32/vadc_vvm	958	3
