# QEMU decode-identity / Capstone-constant PAIR CENSUS -- the observed set the
# generated champsim_tracer_qemu_ident_aarch64.h rests on.
#
# Written by the tracer (CST_QEMU_IDENT_PAIRS=<path>, ONE qemu process per
# file) and folded in here by tools/merge_ident_pairs.py, which is a UNION:
# a rule that has ever been observed stays observed, so regeneration cannot
# narrow the table.  Sorted by (decode_id, cap_insn_id) so a diff is readable.
#
# The NAME is not decoration.  A decode id is not stable across source edits
# -- on i386 it is __LINE__ in decode-new.c.inc -- so the name is what proves
# a banked record still belongs to the rule it was taken from.  Both this
# tool's `verify` and the generator refuse a record whose name disagrees with
# the current universe.
#
#decode_id	decode_name	cap_insn_id	count
1616769139	disas_a64/MLA_v	738	4
1630138913	disas_a64/LD_mult@0.001100.10.....0010............	512	4
1644351043	disas_a64/LDR@10111000011.........10..........	634	74
1647583709	disas_a64/SHL_s	988	3
1653527522	disas_a64/FMADD	390	605
1659413934	disas_sve/LD_zpri@1010010....0....101.............	480	119
1676058006	disas_a64/NOP@1111100110......................	804	4
1683428354	disas_a64/LDR_i@00111000010.........00..........	709	44
1688894468	disas_a64/FCMP	353	38
1688894468	disas_a64/FCMP	354	24
1691028157	disas_a64/MLS_v	739	4
1693859774	disas_a64/LDR_i@10111000100.........01..........	638	10
1703929588	disas_a64/CPYP	259	13
1710670245	disas_a64/REV64	899	161
1717327553	disas_a64/CPYFE	195	18
1766401309	disas_a64/ADD_ext	22	403
1781419283	disas_a64/STP_v@1010110100......................	1180	250
1790091780	disas_a64/LDR_i@10111000010.........01..........	634	14
1809084813	disas_a64/STP_v@0110110100......................	1180	75
1816244473	disas_a64/CMEQ_v	152	145
1819945309	disas_a64/Vimm	92	36
1819945309	disas_a64/Vimm	426	18
1819945309	disas_a64/Vimm	745	100
1819945309	disas_a64/Vimm	761	18
1823682346	disas_a64/ST2G	1137	36
1830310731	disas_a64/STR_v_i@..11110100......................	1182	30
1848842521	disas_a64/ADRP	24	7951
1852772836	disas_a64/SUBS_r	1210	4315
1862522757	disas_a64/LDR_v	634	84
1881531992	disas_a64/LDR_i@00111000110.........01..........	636	38
1888266989	disas_a64/ST_mult@0.001100.00.....0010............	1134	4
1909279615	disas_a64/BFM@00110011000.....0...............	87	28
1951911758	disas_a64/FCVTZS_g	378	4
1971283213	disas_a64/EXT_q	322	20
1982226159	disas_a64/ST_mult@0.001100.00.....0100............	1146	4
2005984387	disas_a64/SYS	752	370
2005984387	disas_a64/SYS	754	12
2005984387	disas_a64/SYS	1244	20
2026919780	disas_a64/FMOV_s	426	34
2037326645	disas_a64/SUBS_i	1210	2463
2037554251	disas_a64/STXR	1174	42
2037554251	disas_a64/STXR	1194	36
2068643122	disas_a64/LD_mult@0.001100.10.....0110............	512	4
2071693051	disas_a64/FCVTZS_g@.0011110..111000000000..........	378	2
2078125240	disas_a64/ANDS_i@0111001000......................	30	34
2083829097	disas_sve/CNT_r	172	20
2085429238	disas_a64/BLR	96	343
2094936947	disas_a64/STG@11011001001.........10..........	1159	9
2097939458	disas_a64/STR_v_i@0011110110......................	1182	215
2098280558	disas_a64/BIF_v	93	12
2147742280	disas_a64/LDR_i	633	1129
2147742280	disas_a64/LDR_i	634	8520
2147742280	disas_a64/LDR_i	635	178
2147742280	disas_a64/LDR_i	636	34
2147742280	disas_a64/LDR_i	637	4
2147742280	disas_a64/LDR_i	638	34
2147742280	disas_a64/LDR_i	709	26
2147742280	disas_a64/LDR_i	710	354
2147742280	disas_a64/LDR_i	714	2
2155905464	disas_a64/SCVTF_vi	941	20
2174126905	disas_a64/ANDS_r	30	221
2174126905	disas_a64/ANDS_r	91	99
2175920368	disas_a64/LD_mult@0.001100.10.....0000............	545	4
2183500741	disas_a64/LDR_v_i	634	203
2183500741	disas_a64/LDR_v_i	710	12
2184158281	disas_a64/SYS@1101010100.01...................	1244	18
2197385112	disas_a64/SUB_i	1211	1259
2202688318	disas_a64/ST_mult@0.001100.00.....0110............	1134	4
2213285390	disas_a64/STR_v_i@..111100000.........00..........	1188	2
2284241057	disas_a64/ADD_i@.001000100......................	22	8674
2292566612	disas_a64/BIT_v	94	76
2308320258	disas_a64/LDR_i@0111100110......................	637	2
2328666511	disas_a64/FMLA_v@0.0011100.1.....110011..........	417	4
2345607125	disas_a64/LSLV	724	297
2364876169	disas_a64/LDR@01111000011.........10..........	635	46
2381938921	disas_a64/SUB_r	1211	2289
2385477759	disas_a64/NOP@11111000100.........00..........	805	4
2397919068	disas_a64/LDR_i@11111000010.........00..........	710	320
2407117052	disas_a64/SBC	938	5
2424907641	disas_a64/ADDS_i@.011000100......................	18	254
2427768081	disas_a64/LDP_v@0110110101......................	629	24
2456884781	disas_a64/LD_mult@0.001100.10.....0111............	512	59
2481148529	disas_a64/STZ2G@11011001111.........10..........	1197	4
2481603733	disas_a64/TRN1	1254	4
2494949748	disas_sve/DUP_s	304	4
2526456904	disas_a64/ANDS_i	30	224
2527661966	disas_a64/MOVK@0111001010......................	746	53
2566042312	disas_a64/LDR_i@0111100101......................	635	236
2569514033	disas_a64/SSHLL_v@0.001111001.....101001..........	1114	5
2569514033	disas_a64/SSHLL_v@0.001111001.....101001..........	1115	5
2584641688	disas_a64/CNT_v	177	6
2595348584	disas_sve/ST_zpri	1119	160
2610400267	disas_a64/LSRV	726	294
2625679542	disas_a64/STP@1010100110......................	1180	1447
2664432315	disas_a64/SMADDL	1005	3
2764531633	disas_a64/SCVTF_vi@0.0011100.100001110110..........	941	10
2828402178	disas_a64/ADDP_v	14	22
2831401802	disas_a64/LDR_i@01111000010.........01..........	635	4
2879156050	disas_a64/STG	1159	12
2879695348	disas_a64/UBFM@1101001101......................	1281	780
2895863234	disas_a64/STP@0010100100......................	1180	130
