# QEMU decode-identity / Capstone-constant PAIR CENSUS -- the observed set the
# generated champsim_tracer_qemu_ident_x86.h rests on.
#
# Written by the tracer (CST_QEMU_IDENT_PAIRS=<path>, ONE qemu process per
# file) and folded in here by tools/merge_ident_pairs.py, which is a UNION:
# a rule that has ever been observed stays observed, so regeneration cannot
# narrow the table.  Sorted by (decode_id, cap_insn_id) so a diff is readable.
#
# The NAME is not decoration.  A decode id is not stable across source edits
# -- on i386 it is __LINE__ in decode-new.c.inc -- so the name is what proves
# a banked record still belongs to the rule it was taken from.  Both this
# tool's `verify` and the generator refuse a record whose name disagrees with
# the current universe.
#
#decode_id	decode_name	cap_insn_id	count
1458	PAND	398	108
1458	PAND	1092	123
1462	PANDN	1090	538
1467	POR	427	1313
1467	POR	1302	443
1471	PXOR	456	4782
1471	PXOR	1398	727
1473	PSUBB	442	1742
1475	PSUBD	443	90
1476	PSUBQ	444	42
1477	PADDB	388	1
1477	PADDB	1078	228
1478	PADDW	395	18
1479	PADDD	389	62
1497	MOV	493	1
1498	MOV	493	5188
1511	ADD	8	32368
1512	OR	512	6096
1513	ADC	6	101
1514	SBB	652	73
1515	AND	24	24295
1516	SUB	715	27058
1517	XOR	1503	1395
1518	SUB	105	53359
1549	ROL	635	1054
1550	ROR	636	362
1553	SHL	683	9516
1554	SHR	686	9021
1556	SAR	649	2628
1571	AND	734	15057
1573	NEG	509	2
1580	AND	734	3926
1581	NOT	511	2539
1582	NEG	509	2406
1583	MUL	498	838
1584	IMUL	228	105
1585	DIV	148	887
1586	IDIV	226	126
1599	INC	230	24
1603	INC	230	1036
1604	DEC	147	206
1605	CALL_m	62	4750
1607	JMP_m	172	5764
1609	PUSH	609	654
1625	MOV	460	29666
1631	PAUSE	520	3
1632	NOP	510	4184
1643	ADD	8	56218
1644	ADD	8	31551
1646	ADD	8	3879
1648	ADD	8	221
1652	ADC	6	2
1653	ADC	6	148
1655	ADC	6	2
1657	ADC	6	2
1661	AND	24	71
1662	AND	24	2418
1663	AND	24	59
1664	AND	24	282
1665	AND	24	5
1666	AND	24	3219
1670	XOR	1503	62
1671	XOR	1503	40999
1672	XOR	1503	2
1673	XOR	1503	1028
1674	XOR	1503	70
1675	XOR	1503	57
1688	PUSH	609	1020
1689	PUSH	609	350
1690	PUSH	609	155
1691	PUSH	609	14364
1692	PUSH	609	12088
1693	PUSH	609	26501
1694	PUSH	609	7662
1695	PUSH	609	6151
1706	Jcc	269	27
1708	Jcc	257	3450
1709	Jcc	254	4114
1710	Jcc	260	50535
1711	Jcc	265	34165
1712	Jcc	256	2947
1713	Jcc	255	4313
1719	AND	734	6494
1720	AND	734	84691
1722	XCHG	1493	1225
1725	XCHG	1493	50
1727	XCHG	1493	12
1737	MOVS	485	119
1738	MOVS	486	31
1738	MOVS	489	89
1742	MOV	460	15
1744	MOV	460	1
1745	MOV	460	4
1746	MOV	460	2
1753	RET	633	6
1754	RET	633	29876
1773	IN	229	2
1776	OUT	515	1
1778	INT1	239	1
1784	OR	512	140
1785	OR	512	4961
1786	OR	512	49
1787	OR	512	572
1788	OR	512	35
1789	OR	512	40
1794	SBB	652	611
1802	SUB	715	32
1803	SUB	715	15629
1805	SUB	715	3344
1806	SUB	715	4
1807	SUB	715	327
1811	SUB	105	799
1812	SUB	105	31475
1813	SUB	105	518
1814	SUB	105	3275
1815	SUB	105	2748
1816	SUB	105	5522
1829	POP	585	218
1830	POP	585	374
1831	POP	585	424
1832	POP	585	13284
1833	POP	585	12835
1834	POP	585	24386
1835	POP	585	7872
1836	POP	585	6165
1838	PUSH	609	374
1839	IMUL3	228	384
1840	PUSH	609	1414
1841	IMUL3	228	225
1845	OUTS	517	1
1847	Jcc	272	4832
1848	Jcc	268	954
1849	Jcc	270	58
1851	Jcc	264	534
1852	Jcc	261	612
1853	Jcc	263	2812
1854	Jcc	262	1750
1856	MOV	460	4915
1857	MOV	460	271634
1858	MOV	460	181
1859	MOV	460	189007
1861	MOV	460	108
1862	LEA	332	94763
1863	MOV	460	1
1866	CBW	65	1214
1867	CWD	64	32
1867	CWD	124	113
1871	POPF	591	1
1875	AND	734	3339
1876	AND	734	998
1877	STOS	708	70
1878	STOS	709	412
1878	STOS	710	457
1885	MOV	460	10828
1885	MOV	461	915
1886	MOV	460	4747
1886	MOV	461	319
1887	MOV	460	9316
1887	MOV	461	516
1888	MOV	460	920
1888	MOV	461	46
1889	MOV	460	629
1889	MOV	461	42
1890	MOV	460	474
1890	MOV	461	103
1891	MOV	460	8916
1891	MOV	461	236
1892	MOV	460	10385
1892	MOV	461	253
1895	LEAVE	333	2533
1896	RETF	351	2
1901	IRET	249	1
1916	CALL	62	63570
1917	JMP	172	28717
1919	JMP	172	15745
1920	IN	229	1
1921	IN	229	4
1922	OUT	515	1
1925	CLC	68	13
1929	CLD	69	12
1930	STD	704	1
57998170	decode-new/VCMP@vex=1	799	10
57998170	decode-new/VCMP@vex=1	803	9
57998170	decode-new/VCMP@vex=1	804	3
153494300	decode-new/x87@1101110111011...	714	108
158104131	decode-new/x87@11011001..000...	331	12
296181312	decode-new/x87@11011001..111...	195	42
323455382	decode-new/x87@11011101..011...	714	6
406809962	decode-new/VMOVSD_ld@vex=1	1046	278
447071880	decode-new/x87@1101101111101...	742	6
766041834	decode-new/x87@11011011..000...	227	10
789864176	decode-new/x87@1101100111111000	199	8
917558886	decode-new/x87@1101100111101010	187	12
929339146	decode-new/x87@11011000..110...	156	10
934336505	decode-new/x87@1101100111101011	191	12
977000139	decode-new/x87@11011001..101...	185	10
1265096078	decode-new/VCVTSI2Sx@vex=0	135	3
1281873697	decode-new/VCVTSI2Sx@vex=0	134	136
1315388058	decode-new/MOVQ@vex=0	378	54
1598276992	decode-new/x87@1101111111100000	196	14
1679752237	decode-new/x87@1101100111101110	329	24
1827110893	decode-new/x87@11011011..111...	714	32
2007989584	decode-new/MOVD_to@vex=1	1021	10
2007989584	decode-new/MOVD_to@vex=1	1025	31
2014321182	decode-new/VMOVLPx_st@vex=0	486	281
2197183821	decode-new/MOVD_from@vex=0	377	10
2197183821	decode-new/MOVD_from@vex=0	378	27
2248057312	decode-new/VMOVLPx@vex=1	1046	39
2279910896	decode-new/x87@1101100111001...	1494	84
2284996246	decode-new/x87@1101100111100101	209	6
2710822308	decode-new/x87@1101111011000...	15	10
2817733249	decode-new/MOVQ@vex=1	1021	30
2822510569	decode-new/MOVD_to@vex=0	377	32
2822510569	decode-new/MOVD_to@vex=0	378	230
2866266973	decode-new/x87@1101111011001...	506	10
3032610690	decode-new/x87@11011011..101...	331	40
3061842958	decode-new/MOVD_from@vex=1	1021	66
3149129308	decode-new/x87@1101100111101001	188	12
3165906927	decode-new/x87@1101100111101000	330	20
3535851166	decode-new/MOVQ@vex=0	378	45
3726371492	decode-new/x87@1101100111101100	189	12
3743149111	decode-new/x87@1101100111101101	190	12
3751227781	decode-new/VMOVSD_ld@vex=0	486	189
3808513788	decode-new/VCVTSI2Sx@vex=1	825	6
3894292375	decode-new/VMOVLPx_st@vex=1	1046	20
3900817845	decode-new/x87@11011001..011...	714	6
3970734107	decode-new/VMOVLPx@vex=0	486	4
