Producing reference corpus...
  g_51b2_x86_64_wp1: 61952 B
  g_51b2_aarch64_wp0: 51712 B
  g_51b2_aarch64_wp1: 62976 B
  g_51b2_riscv64_wp0: 47104 B
  g_51b2_riscv64_wp1: 57344 B
  g_51b2_mipsel_wp0: 49664 B
  g_51b2_mipsel_wp1: 62976 B
  g_51b3_x86_64_wp0: 48640 B
  g_51b3_x86_64_wp1: 61952 B
  g_51b3_aarch64_wp0: 51200 B
  g_51b3_aarch64_wp1: 62464 B
  g_51b3_riscv64_wp0: 46592 B
  g_51b3_riscv64_wp1: 56320 B
  g_51b3_mipsel_wp0: 49152 B
  g_51b3_mipsel_wp1: 61952 B
  mcf_x86_64_20M_wp0: 68470784 B
  mcf_x86_64_20M_wp1: 418100224 B

Reference: 162/162 traces -> /mnt/md0/QEMU/qemu/contrib/plugins/champsim_tracer/baseline/_ref/manifest.json
